Symbol,Quantity,Price,Action,Description,TradeDate,SettledDate,Interest,Amount,Commission,Fee,CUSIP,RecordType
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  04/16 THRU 05/15      ,2025-05-16,2025-05-16,0.00,0.02,0.00,0.00,00099A109,Financial
            ,0.00,,Other,ACH DEPOSIT SEN(20250606006537)      ,2025-06-06,2025-06-06,0.00,300.00,0.00,0.00,         ,Financial
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  05/16 THRU 06/15      ,2025-06-16,2025-06-16,0.00,0.03,0.00,0.00,00099A109,Financial
QQQM        ,0.00,,Dividend,INVESCO EXCHANGE TRADED FD TR II INVESCO NASDAQ 100 ETF CASH DIV  ON       1 SHS REC 06/23/25 PAY 06/27/25 NON-QUALIFIED DIVIDEND NON-RES TAX WITHHELD  $0.10,2025-06-27,2025-06-27,0.00,0.32,0.00,0.00,46138G649,Financial
NVDA        ,0.00,,Dividend,NVIDIA CORP CASH DIV  ON      21 SHS REC 06/11/25 PAY 07/03/25 NON-RES TAX WITHHELD    $0.06,2025-07-03,2025-07-03,0.00,0.21,0.00,0.00,67066G104,Financial
TSLA        ,1.00,295.8786,BUY,TESLA INC                      COMMON STOCK                   UNSOLICITED                                                                                                                                               ,2025-07-09,2025-07-10,0.00,-295.88,0.00,0.00,88160R101,Trade
TSM         ,0.00,,Dividend,***TAIWAN SEMICONDUCTOR MFG CO LTD-SPONSORED ADR REPSTG 5 COM CASH DIV  ON       3 SHS REC 06/12/25 PAY 07/10/25 FOREIGN TAX WITHHELD   $0.49,2025-07-10,2025-07-10,0.00,2.34,0.00,0.00,874039100,Financial
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  06/16 THRU 07/15      ,2025-07-16,2025-07-16,0.00,0.05,0.00,0.00,00099A109,Financial
IBIT        ,1.00,67.16,BUY,ISHARES BITCOIN TR             ISHARES BITCOIN TRUST ETF      UNSOLICITED                                                                                                                                               ,2025-07-28,2025-07-29,0.00,-67.16,0.00,0.00,46438F101,Trade
IBIT        ,2.00,67.4,BUY,ISHARES BITCOIN TR             ISHARES BITCOIN TRUST ETF      UNSOLICITED                                                                                                                                               ,2025-07-28,2025-07-29,0.00,-134.8,0.00,0.00,46438F101,Trade
IBIT        ,1.00,67.17,BUY,ISHARES BITCOIN TR             ISHARES BITCOIN TRUST ETF      UNSOLICITED                                                                                                                                               ,2025-07-28,2025-07-29,0.00,-67.17,0.00,0.00,46438F101,Trade
            ,0.00,,Other,ACH DEPOSIT SEN(20250728007943)      ,2025-07-28,2025-07-28,0.00,200.00,0.00,0.00,         ,Financial
            ,0.00,,Interest,INTEREST ON CREDIT BALANCE AT  0.150  07/16 THRU 08/15      ,2025-08-18,2025-08-18,0.00,0.02,0.00,0.00,00099A109,Financial
